"FA番号","都道府県名","CATFlag","ILLflag","CopyService","LoanService","FAXservice","ILLStatus","館名","住所"
"FA001594","07","A","A","N","N","N","N","福島大学 附属図書館","福島市金谷川1番地"
"FA001608","08","A","A","A","A","N","N","茨城大学 附属図書館","茨城県水戸市文京2-1-1"
"FA001619","08","A","A","A","A","N","A","茨城大学 附属図書館 工学部分館","茨城県日立市中成沢町4-12-1"
"FA001630","08","A","A","N","N","N","N","茨城大学 附属図書館 農学部分館","茨城県稲敷郡阿見町中央3-21-1"
"FA001641","08","A","A","N","N","N","N","筑波大学 附属図書館 図書館情報学図書館","つくば市春日1-2"
"FA001652","08","A","A","N","N","N","N","筑波大学 附属図書館 中央図書館","茨城県つくば市天王台1-1-1"
"FA001663","08","A","A","A","A","N","N","筑波大学 附属図書館 医学図書館","茨城県つくば市天王台1-1-1"
"FA001674","08","A","A","N","N","N","N","筑波大学 附属図書館 体育・芸術図書館","茨城県つくば市天王台1-1-1"
"FA001685","09","A","A","N","N","N","N","宇都宮大学 附属図書館","宇都宮市峰町350"
"FA001696","09","A","A","A","A","N","N","宇都宮大学 附属図書館 陽東分館","宇都宮市陽東7丁目1番2号"
"FA001710","10","A","A","A","A","A","A","群馬大学 総合情報メディアセンター 中央図書館","群馬県前橋市荒牧町4-2"
"FA001721","10","A","A","A","A","N","A","群馬大学 総合情報メディアセンター 医学図書館","前橋市昭和町3-39-22"
"FA001732","10","A","A","A","A","A","A","群馬大学 総合情報メディアセンター 理工学図書館","群馬県桐生市天神町1-5-1"
"FA001743","11","A","A","A","A","N","A","埼玉大学 図書館","埼玉県さいたま市桜区下大久保255"
"FA001754","12","A","A","A","A","A","N","千葉大学 附属図書館","千葉県千葉市稲毛区弥生町1-33"
"FA001765","12","A","A","A","A","A","N","千葉大学 附属図書館 亥鼻分館","千葉県千葉市中央区亥鼻1-8-1"
"FA001776","12","A","A","A","A","N","A","千葉大学 附属図書館 松戸分館","松戸市松戸648"
"FA001787","13","A","A","A","A","A","N","東京大学 総合図書館","東京都文京区本郷7-3-1"
"FA001798","13","A","A","N","N","N","N","東京大学 駒場図書館","東京都目黒区駒場3-8-1"
"FA001801","13","A","A","N","N","N","N","東京大学 大学院法学政治学研究科 附属近代日本法政史料センター (明治新聞雑誌文庫)","東京都文京区本郷7-3-1"
"FA001823","13","A","A","A","A","A","N","東京大学 医学図書館","東京都文京区本郷7-3-1"
"FA001845","13","A","A","A","A","A","N","東京大学 農学生命科学図書館","東京都文京区弥生1-1-1"
"FA001867","13","A","A","A","A","N","A","東京医科歯科大学 図書館","東京都文京区湯島1-5-45"
"FA001878","13","A","A","N","N","A","N","東京外国語大学 附属図書館","東京都府中市朝日町3-11-1"
"FA001889","13","A","A","A","A","N","N","東京学芸大学 附属図書館","東京都小金井市貫井北町4-1-1"
"FA001903","13","A","A","A","N","N","A","東京農工大学 府中図書館","東京都府中市幸町3-5-8"
"FA001914","13","A","A","A","A","N","A","東京農工大学 小金井図書館","東京都小金井市中町2-24-16"
"FA001925","13","A","A","A","A","N","N","東京芸術大学 附属図書館","東京都台東区上野公園12-8"
"FA001958","13","A","A","A","A","N","N","東京海洋大学 附属図書館 越中島分館","東京都江東区越中島2-1-6"
"FA001969","13","A","A","A","A","N","A","東京海洋大学 附属図書館","東京都港区港南4-5-7"
"FA001980","13","A","A","A","A","A","N","お茶の水女子大学 附属図書館","東京都文京区大塚2-1-1"
"FA001991","13","A","A","N","N","N","N","電気通信大学 附属図書館","東京都調布市調布ケ丘1-5-1"
"FA002010","13","A","A","N","N","A","A","一橋大学 附属図書館","国立市中2-1"
"FA002043","13","A","A","N","N","A","A","一橋大学 経済研究所 資料室","東京都国立市中2-1"
"FA002054","13","A","A","N","N","A","A","一橋大学 経済研究所 附属社会科学統計情報研究センター","国立市中2-1"
"FA002065","14","A","A","N","N","N","N","横浜国立大学 附属図書館","横浜市保土ケ谷区常盤台79番6号"
"FA002076","14","A","A","A","N","N","N","横浜国立大学 経済学部 附属アジア経済社会研究センター","横浜市保土ケ谷区常盤台79番3号"
"FA002087","15","A","A","N","N","N","N","新潟大学 附属図書館","新潟県新潟市西区五十嵐2の町8050"
"FA002098","15","A","A","N","N","N","A","新潟大学 附属図書館 旭町分館","新潟市中央区旭町通1番町754番地"
"FA002101","15","A","A","A","A","A","A","長岡技術科学大学 附属図書館","新潟県長岡市上富岡町1603-1"
"FA002112","15","A","A","A","A","A","A","上越教育大学 附属図書館","新潟県上越市山屋敷町1"
"FA002123","16","A","A","A","A","A","A","富山大学 附属図書館","富山市五福3190"
"FA002134","16","A","A","A","A","A","A","富山大学 附属図書館 医薬学図書館","富山市杉谷2630"
"FA002145","17","A","A","A","A","N","A","金沢大学 附属図書館","金沢市角間町"
"FA002203","17","A","A","N","A","N","A","金沢大学 附属図書館 医学図書館","金沢市宝町13-1"
"FA002236","18","A","A","A","A","A","A","福井大学 附属図書館","福井県福井市文京3-9-1"
"FA002247","18","A","A","A","A","A","A","福井大学 附属図書館 医学図書館","福井県吉田郡永平寺町松岡下合月23-3"
"FA002258","19","A","A","A","N","N","A","山梨大学 附属図書館","甲府市武田四丁目4-37"
"FA002269","19","A","A","A","A","A","A","山梨大学 附属図書館 医学分館","山梨県中央市下河東1110"
"FA002280","20","A","A","A","A","A","A","信州大学 附属図書館 中央図書館","長野県松本市旭3-1-1"
